evaluation,mode,z_1,z_2,z_3,z_4,z_5,z_6,status,energyJ,violation,successTimeS,elapsedS
1,coheat,1,1,1,1,1,0.333333333333333,success,3780.47078196124,0,30.2437662556899,121.7765835
2,coheat,1,0.7,0.5,0.7,1,0.444444444444444,success,4024.45921986483,0,41.2765048191264,58.4266696
3,coheat,0.95,0.9,0.85,0.9,0.95,0.333333333333333,success,3901.55131447285,0,34.299352215146,162.8047914
4,coheat,1,0.9,0.9,0.9,1,0.333333333333333,success,3854.45728651995,0,32.8038918001698,143.0240866
5,coheat,0.9,1,1,1,0.9,0.333333333333333,success,3854.85151923811,0,32.1237626603175,136.1428558
6,coheat,0.885,1,0.915,1,0.885,0.333333333333333,success,3884.27274292414,0,33.1634812629596,118.3513788
7,coheat,0.9675,1,0.9675,1,1,0.333333333333333,success,3827.54670649157,0,31.0236815115832,106.8197222
8,coheat,1,0.705,0.575,0.705,1,0.405555555555556,success,4010.89541373072,0,40.2599288705719,73.4994374
9,coheat,0.935,0.7,0.5,0.9,0.935,0.444444444444444,success,4115.12688358674,0,41.4622356028891,84.4607435
10,coheat,0.9675,0.7,0.4675,0.7,0.9675,0.333333333333333,success,4046.43283239154,0,42.5660258502726,72.9720328
