evaluation,generation,q1,q2,q3,q4,q5,th,status,energyJ,startupTimeS,violation,accepted,bestFeasibleEnergyJ
1,0,1,1,1,1,1,24,physical_infeasible,3000,NaN,1.294404699978,1,NaN
2,0,1,1,1,1,1,30.2537663,success,3780.46135167864,30.2436908134291,0,1,3780.46135167864
3,0,1,0.8,0.5,0.8,1,28,physical_infeasible,2870,NaN,1.31031758784072,1,3780.46135167864
4,0,1,0.5,0.2,0.5,1,34,physical_infeasible,2720,NaN,1.32009592044714,1,3780.46135167864
5,0,0.8,0.8,0.8,0.8,0.8,28,physical_infeasible,2800,NaN,1.32279410690589,1,3780.46135167864
6,0,1,0.85,0.7,0.85,1,34.2727272727273,physical_infeasible,3770,NaN,1.20269107931414,1,3780.46135167864
7,0,1,0.6,0.2,0.6,1,44.3529411764706,physical_infeasible,3770,NaN,1.19780184932545,1,3780.46135167864
8,0,1,1,0,1,1,37.7,physical_infeasible,3770,NaN,1.19819119160542,1,3780.46135167864
9,0,0.8,0.8,0.8,0.8,0.8,37.7,physical_infeasible,3770,NaN,1.1996362768265,1,3780.46135167864
10,0,1,0.7,0.3,0.7,1,45,success,4049.44594674716,43.7777940188882,0,1,3780.46135167864
11,0,0.6,0.8,1,0.8,0.6,45,success,4134.65091903436,43.5226412529933,0,1,3780.46135167864
12,0,1,0.9,0.8,0.9,1,40,success,3876.18662371296,33.7059706409823,0,1,3780.46135167864
13,1,0.67,0.93,1,0.93,0.67,27.0705882352941,physical_infeasible,2842.41176470588,NaN,1.31533930773872,0,3780.46135167864
14,1,1,0.57,0,0.57,1,30.2537663,physical_infeasible,2374.92065455,NaN,1.36689537405775,0,3780.46135167864
15,1,1,0.85,1,0.85,1,28,physical_infeasible,3290,NaN,1.26202896376503,1,3780.46135167864
16,1,0.47,0.5,0.87,0.5,1,47.6,physical_infeasible,3974.6,NaN,1.20205837554205,1,3780.46135167864
17,1,1,0.9025,1,0.9025,1,28.0260390272727,numerical_unknown,600.625,NaN,Inf,0,3780.46135167864
18,1,0.8,0.865,0.93,0.865,0.8,34.2727272727273,physical_infeasible,3650.04545454545,NaN,1.21461360157958,0,3780.46135167864
19,1,1,0.63,0.33,0.63,1,25.095,physical_infeasible,2252.27625,NaN,1.38658431397487,0,3780.46135167864
20,1,1,0.93,0.63,0.93,1,37.7,success,3897.48258218182,34.721448393602,0,1,3780.46135167864
21,1,0.8,0.63,0.33,0.63,1,35.464948095,physical_infeasible,3005.65435105125,NaN,1.30977465993747,0,3780.46135167864
22,1,1,1,1,1,1,30.4310390272727,success,3780.46135167888,30.243690813431,0,1,3780.46135167864
23,1,1,1,0.67,1,1,42.405,success,3853.45165002885,33.0060098503542,0,1,3780.46135167864
24,1,1,0.44,0.8,0.44,1,54.1644636697059,success,4068.73941488319,44.2254284226434,0,0,3780.46135167864
25,2,1,0.5975,0.8505,0.5975,1,52.8859772727273,success,4008.13102150524,39.6305131282189,0,0,3780.46135167864
26,2,1,0.548,0.2455,0.548,1,42.1252139037433,physical_infeasible,3519.03505648396,NaN,1.23135853861955,0,3780.46135167864
27,2,0.87,0.9155,1,0.85,0.87,30.4310390272727,physical_infeasible,3427.67615843443,NaN,1.24482000882052,1,3780.46135167864
28,2,1,1,0.87,1,1,38.2310390272727,success,3809.33542362271,31.2881759640469,0,1,3780.46135167864
