q1,q2,q3,q4,q5,status,energyJ,startupTimeS,horizonS,elapsedS,reason
1,1,1,1,1,success,3780.47078196124,30.2437662556899,32.2437662556899,113.1355497,""
0.8,1,1,1,0.8,success,3927.23249820164,34.149847810449,34.873658973576,143.3583232,""
1,0.8,1,0.8,1,success,3883.66634257122,33.7710116745323,34.873658973576,131.4785705,""
1,1,0.8,1,1,numerical_failure,Inf,NaN,33.5039231830103,113.8363562,"pemfc_stack5_simulate_q3:NonfiniteDerivative: Nonfinite derivative at t=27.8549628 s, cell=4, j=1392.75 A/m2, V=-Inf V, jLim=16744.9 A/m2."
0.9,1,1,1,0.9,success,3854.85151923811,32.1237626603175,33.5039231830103,125.2953705,""
1,0.9,1,0.9,1,success,3832.47901179287,31.9373250982739,33.5039231830103,126.070715,""
1,1,0.9,1,1,success,3802.67934002942,31.0422803267707,32.8609859751938,107.8273483,""
0.95,1,1,1,0.95,success,3817.84768398817,31.1661035427606,32.8609859751938,129.1043043,""
1,0.95,1,0.95,1,infeasible,Inf,NaN,32.8609859751938,24.4348775,"求解器提前终止（通常为相变切换导致步长过小）"
1,1,0.95,1,1,success,3791.56119907878,30.6388783763942,32.5492588441312,103.0897605,""
0.98,1,1,1,0.98,success,3795.46182875235,30.6085631350996,32.4876675964616,130.1576201,""
1,0.98,1,0.98,1,numerical_failure,Inf,NaN,32.4876675964616,106.4532458,"pemfc_stack5_simulate_q3:NonfiniteDerivative: Nonfinite derivative at t=27.0760656 s, cell=4, j=1353.8 A/m2, V=-Inf V, jLim=650.708 A/m2."
1,1,0.98,1,1,numerical_failure,Inf,NaN,32.3652271643473,92.9288145,"pemfc_stack5_simulate_q3:NonfiniteDerivative: Nonfinite derivative at t=26.9244739 s, cell=4, j=1346.22 A/m2, V=-Inf V, jLim=2.51647e-11 A/m2."
0.95,1,1,1,1,success,3841.79847901133,31.0448361940309,32.5492588441312,112.4611295,""
1,0.95,1,1,1,success,3814.35881937887,30.8231015707384,32.5492588441312,122.8892494,""
