q1,q2,q3,q4,q5,status,energyJ,startupTimeS,horizonS,elapsedS,reason
1,1,1,1,1,success,4191.96831672216,33.5357465337773,70,118.7231195,
0.8,1,1,1,0.8,infeasible,Inf,NaN,38.4410288410622,30.3734349,在最大仿真时间内未启动成功
1,0.8,1,0.8,1,bounded,4393.36012866085,38.2031315535726,38.4410288410622,34.7067465,
1,1,0.8,1,1,bounded,4280.46845171462,35.6705704309551,36.9226526393513,58.3380244,
0.9,1,1,1,0.9,bounded,4316.14960850725,35.9679134042271,36.9226526393513,58.6863656,
1,0.9,1,0.9,1,bounded,4289.4813940336,35.7456782836134,36.9226526393513,49.9500883,
1,1,0.9,1,1,bounded,4234.92872409234,34.5708467272844,36.2099454426299,52.2167798,
0.95,1,1,1,0.95,bounded,4252.81452033321,34.7168532272099,36.2099454426299,37.3145001,
1,0.95,1,0.95,1,bounded,4239.45020248983,34.607756755019,36.2099454426299,57.4430341,
1,1,0.95,1,1,bounded,4212.656544079,34.0416690430626,35.8643904381589,46.1118621,
0.98,1,1,1,0.98,bounded,4215.40734536884,33.995220527168,35.7961154574368,79.0228372,
1,0.98,1,0.98,1,bounded,4210.0525694397,33.9520368503202,35.7961154574368,53.3330469,
1,1,0.98,1,1,bounded,4199.45339725314,33.7305493755272,35.6603880861217,62.7823683,
0.95,1,1,1,1,bounded,4275.51505648872,34.5496166180906,35.8643904381589,58.814153,
1,0.95,1,1,1,bounded,4241.29317670192,34.273076175369,35.8643904381589,57.2283476,
1,1,1,0.95,1,bounded,4241.16282003992,34.2720227882013,35.8643904381589,56.967846,
