evaluation,mode,z_1,z_2,z_3,z_4,z_5,z_6,status,energyJ,violation,successTimeS,elapsedS
1,preheat,0.9,0.7,0.65,0.7,0.9,0.279444444444444,success,4841.375,0,50.3,31.0250819
2,preheat,1,1,1,1,1,0.194444444444444,success,4375,0,35,75.8227154
3,preheat,0.8,0.8,0.8,0.8,0.8,0.277777777777778,success,5000,0,50,43.6509103
4,preheat,1,0.7,0.5,0.7,1,0.284900284900285,success,5000,0,51.2820512820513,37.8181925
5,preheat,0.5,0.7,1,0.7,0.5,0.326797385620915,infeasible,5000,1.03188211522437,NaN,31.2068115
6,preheat,0.95931491699841,0.50656695336652,0.202688074199736,0.585993622378231,0.955032044920546,0.346184144508478,infeasible,5000,1.03456481869704,NaN,38.0145552
7,preheat,1,1,1,1,1,0.177777777777778,infeasible,4000,1.02806243848572,NaN,25.976241
8,preheat,1,1,1,1,1,0.211111111111111,success,4750,0,38,83.2913303
9,preheat,0.9,1,1,1,1,0.194444444444444,infeasible,4287.5,1.01075281712635,NaN,51.2607968
10,preheat,1,1,0.9,1,1,0.194444444444444,success,4287.5,0,35,48.1137097
11,preheat,1,1,0.9,1,0.9,0.194444444444444,infeasible,4200,1.02998146906188,NaN,30.6129111
12,preheat,1,1,0.9,0.9,1,0.194444444444444,infeasible,4200,1.01997539865568,NaN,29.7761009
