index,label,mode,q_1,q_2,q_3,q_4,q_5,th,status,energyJ,startupTimeS,accepted,bestCoEnergyJ,bestPreEnergyJ
1,retry_unresolved_end5,coheat,1,1,1,1,0.995588043208565,40,success,3778.40211026135,30.253912673188,1,3778.40211026135,4190.71831672216
2,joint_end_margin,coheat,1,1,1,0.995487910109857,0.997794021604283,40,success,3778.74530382791,30.2706344685064,0,3778.40211026135,4190.71831672216
3,incumbent_early_shutoff,coheat,1,1,1,1,0.995588043208565,30.243912673188,physical_infeasible,3777.15321325055,NaN,0,3778.40211026135,4190.71831672216
4,sparse_long_heating,coheat,1,0.3,0,0.3,1,55,physical_infeasible,3575,NaN,0,3778.40211026135,4190.71831672216
5,uniform_low_power_long_heating,coheat,0.5,0.5,0.5,0.5,0.5,60,physical_infeasible,3750,NaN,0,3778.40211026135,4190.71831672216
6,preheat_center_reduction,preheat,1,1,0.9965,1,1,45,success,5621.0625,45,0,3778.40211026135,4190.71831672216
7,adaptive_cell1_direction-1,coheat,0.998,1,1,1,0.995588043208565,40,success,3780.83186512174,30.2854927751902,0,3778.40211026135,4190.71831672216
8,adaptive_cell2_direction-1,coheat,1,0.998,1,1,0.995588043208565,40,success,3779.74379969403,30.2767770748298,0,3778.40211026135,4190.71831672216
9,adaptive_cell3_direction-1,coheat,1,1,0.998,1,0.995588043208565,40,success,3778.8386935299,30.2695269279911,0,3778.40211026135,4190.71831672216
10,adaptive_cell4_direction-1,coheat,1,1,1,0.998,0.995588043208565,40,success,3779.72950516946,30.2766625717955,0,3778.40211026135,4190.71831672216
11,adaptive_cell5_direction-1,coheat,1,1,1,1,0.993588043208565,40,success,3780.80615142392,30.2852868014688,0,3778.40211026135,4190.71831672216
16,adaptive_cell5_direction1,coheat,1,1,1,1,0.997588043208565,40,success,3779.3319349392,30.2492474550806,0,3778.40211026135,4189.53708307145
