mode,changedCell,plannedHeatingS,searchCutoffS,status,successTimeS,minimumTemperatureC,minimumVoltageV,maximumIceVolumeFraction,chargeCcm2,elapsedS,q1,q2,q3,q4,q5
preheat,1,33.5247465337773,33.5247465337773,not_faster,NaN,-0.538737428504874,1.22525677060973,0.0119570953810414,0,26.9468283,0.95,1,1,1,1
preheat,2,33.5247465337773,33.5247465337773,not_faster,NaN,-0.390451346738871,1.22547487339614,0.0117185172380464,0,26.7281198,1,0.95,1,1,1
preheat,3,33.5247465337773,33.5247465337773,not_faster,NaN,-0.265633922207712,1.22570841027747,0.011679198632708,0,25.1788037,1,1,0.95,1,1
preheat,4,33.5247465337773,33.5247465337773,not_faster,NaN,-0.390881239540875,1.22547309484167,0.0117838123108918,0,27.1615695,1,1,1,0.95,1
preheat,5,33.5247465337773,33.5247465337773,not_faster,NaN,-0.538517621656581,1.22525501015221,0.0120247690753785,0,27.975423,1,1,1,1,0.95
coheat,1,30.2427662556899,30.2427662556899,not_faster,NaN,-0.502097332519838,0.630975446589006,0.125282510694911,2.28657264855401,161.5271788,0.95,1,1,1,1
coheat,2,30.2427662556899,30.2427662556899,not_faster,NaN,-0.365939808624887,0.631226417379811,0.123769694748559,2.28658016722309,161.0161768,1,0.95,1,1,1
coheat,3,30.2427662556899,30.2427662556899,not_faster,NaN,-0.245162105141219,0.63153344502043,0.122342517782543,2.28656679274771,118.0077744,1,1,0.95,1,1
coheat,4,30.2427662556899,30.2427662556899,pemfc_stack5_simulate_q3:NonfiniteDerivative,NaN,NaN,NaN,NaN,NaN,52.5396503,1,1,1,0.95,1
coheat,5,30.2427662556899,30.2427662556899,not_faster,NaN,-0.475829318823173,0.630975223352228,0.121049953393526,2.28657537753219,122.6043138,1,1,1,1,0.95
