time_s,current_Acm2,charge_Ccm2,T1_C,T2_C,T3_C,T4_C,T5_C,V1_V,V2_V,V3_V,V4_V,V5_V,ice1,ice2,ice3,ice4,ice5,E1_J,E2_J,E3_J,E4_J,E5_J,leftEndplate_C,rightEndplate_C
0,0,0,-30,-30,-30,-30,-30,1.26757744798628,1.26757744798628,1.26757744798628,1.26757744798628,1.26757744798628,0,0,0,0,0,0,0,0,0,0,-30,-30
0.5,0.0025,0.000625,-28.9521863329625,-28.4193639978629,-28.3860831973926,-28.4193639956025,-28.9521863291862,0.859524655257957,0.858612447915737,0.85855120296423,0.858610292999806,0.859519161055148,0.000131867958662627,0.000130922471685455,0.000130906792704369,0.00013092234218376,0.000131867691586494,12.5,12.5,12.5,12.5,12.5,-29.9926378530216,-29.9926378530105
1,0.005,0.00250000000000001,-27.9706527494414,-26.9039042719644,-26.786738721532,-26.9039042425859,-27.9706527011831,0.822512054121116,0.820681911371863,0.820468751399972,0.820674937126212,0.822494105893236,0.000515016549868448,0.00050773136798119,0.000507406696560803,0.000507729248936332,0.000515010412356088,25,25,25,25,25,-29.9713288205223,-29.9713288202344
1.5,0.0075,0.00562500000000002,-27.0463277850867,-25.4474769014417,-25.2135791928368,-25.44747677302,-27.0463275787176,0.797938190998171,0.795253567682369,0.794838966241612,0.79524015778313,0.797903736152324,0.00113090261961682,0.00110680071957394,0.00110505541742138,0.00110679448936987,0.00113087664052714,37.5,37.5,37.5,37.5,37.5,-29.9371270594604,-29.9371270575886
2,0.01,0.01,-26.171598584925,-24.0456564251818,-23.6740862554297,-24.0456560665603,-26.1715980222477,0.778737558337604,0.775267881888508,0.774628016765252,0.77524702337462,0.778684441581926,0.00196374517524692,0.00190752558638208,0.00190200172294633,0.0019075194837752,0.00196348618362359,50,50,50,50,50,-29.89095625946,-29.8909562525575
2.5,0.0125,0.0156250000000001,-25.3401056906913,-22.6950187068091,-22.1729344041386,-22.6950179149191,-25.3401044619177,0.762705359218766,0.75851614001023,0.757642029133883,0.75848728802797,0.762632779504645,0.00298080373627987,0.0028886214320801,0.0028757739939249,0.00288470720131913,0.00296038449173436,62.5,62.5,62.5,62.5,62.5,-29.8336301856196,-29.833630166817
3,0.015,0.0225,-24.5465488292173,-21.3927367594167,-20.7128763190887,-21.3927352307021,-24.5465465314764,0.748856084282609,0.744005177233576,0.742895858252078,0.743968183582918,0.748764266791121,0.00409627433748933,0.00398457061355975,0.00396258376707146,0.003964126382561,0.00403978053570117,75,75,75,75,75,-29.7658704158635,-29.7658703733708
3.5,0.0175,0.0306249999999999,-23.7865106769927,-20.1363497454756,-19.2953342599673,-20.1363471189771,-23.7865068569571,0.73665323526644,0.731189565272169,0.729848027481814,0.731144635282698,0.736543219211988,0.00527727382113766,0.00514644359896103,0.00511389364834498,0.00510444120968213,0.00517723750895573,87.5,87.5,87.5,87.5,87.5,-29.6883209983547,-29.6883209145892
4,0.02,0.0399999999999997,-23.056301254149,-18.9236307955678,-17.920802508742,-18.9236266726932,-23.0562954328301,0.725761929526281,0.719725661185232,0.718156562952674,0.71967329787717,0.72563539575754,0.00651810353143087,0.00636658179714717,0.00632213370551341,0.00629914887895413,0.00636831922489335,100,100,100,100,100,-29.6015607220247,-29.6015605731642
4.5,0.0225,0.0506249999999996,-22.3528256385514,-17.7525121036228,-16.589124947292,-17.7525060655128,-22.3528173371603,0.715950177703501,0.709373725686621,0.707582233205461,0.709314668457718,0.715809301620744,0.00781679721115685,0.00764283411275334,0.00758531653167688,0.00754645901647938,0.0076119446989871,112.5,112.5,112.5,112.5,112.5,-29.5061131965666,-29.506112952463
5,0.025,0.0624999999999994,-21.6734737295844,-16.6210429170056,-15.2996896816725,-16.6210345429559,-21.6734624950056,0.707043970990192,0.699953439700819,0.697944741549114,0.699888603969944,0.706891293248243,0.00917204932252143,0.008973605409411,0.00890194638886934,0.00884514107327928,0.00890769138501393,125,125,125,125,125,-29.4024551023334,-29.4024547267839
5.5,0.0275,0.0756250855311555,-21.0160312368617,-15.5273689568044,-14.051570577704,-15.52735784986,-21.0160166656,0.698905026621915,0.69132743382433,0.689111391046751,0.691258329424131,0.698743341247669,0.010582984871367,0.0103575966287401,0.0102707504943007,0.0101942498115946,0.0102555156724898,137.5,137.5,137.5,137.5,137.5,-29.2910223769964,-29.2910218283522
6,0.03,0.0900000855320335,-20.3785998714621,-14.4697096074954,-12.8436161231111,-14.4696954152002,-20.3785816426505,0.691422720196017,0.683390907807528,0.680971413988378,0.683318578453457,0.691256153594338,0.0120491564687841,0.0117938307168898,0.0116907213070783,0.0115931474483487,0.0116557500160674,150,150,150,150,150,-29.1722178670942,-29.172217099222
6.5,0.0325,0.105625085532033,-19.759546988109,-13.4463657676128,-11.6745384767385,-13.4463481790208,-19.7595249065929,0.68451861309075,0.67604374992377,0.673425130911089,0.675969221728103,0.684350399558376,0.013570604616578,0.0132817624204896,0.0131612180897677,0.0130416179421308,0.0131091765564054,162.5,162.5,162.5,162.5,162.5,-29.0464126779434,-29.0464116418255
7,0.035,0.122500085532033,-19.157451546197,-12.4557052364398,-10.5429554439399,-12.4556839990963,-19.1574255012481,0.67810916715836,0.669202618023455,0.666389713525434,0.669126950078878,0.677941965350895,0.0151479330303988,0.0148212965281805,0.0146819551457264,0.0145398854456945,0.0146170646484437,175,175,175,175,175,-28.9139519886306,-28.9139506338412
7.5,0.0375,0.140625085532033,-18.5710668590405,-11.4961627691336,-9.44743270191225,-11.4961377094649,-18.5710368191082,0.672123126256335,0.662796815545936,0.659794821647829,0.662721057424181,0.671959760274152,0.0167820577295552,0.0164126743190251,0.0162529150147618,0.0160884791490806,0.0161764401382708,187.5,187.5,187.5,187.5,187.5,-28.7751575726139,-28.775155848494
8,0.04,0.160000085532032,-17.9992902450572,-10.5662383839596,-8.38651303694701,-10.566209425412,-17.9992562378844,0.666500695246547,0.656765980570197,0.653580371272698,0.656691162358361,0.666343985839228,0.0184733100222853,0.0180562287809285,0.017874202097307,0.017687984734438,0.0177762519287642,200,200,200,200,200,-28.6303303339231,-28.6303281905259
8.5,0.0425,0.180625085532034,-17.4411385056819,-9.66449568802557,-7.35873776918919,-9.66446285300498,-17.4411006153602,0.661191466740784,0.651058307100186,0.647694752926738,0.650985434072754,0.661044168987279,0.0202212445220782,0.0197524541853121,0.0195461332541507,0.0193391386765062,0.0194071402336592,212.5,212.5,212.5,212.5,212.5,-28.4797524268341,-28.4797498157046
9,0.045,0.202500085532035,-16.895728122468,-8.78956009467578,-6.36266236648112,-8.78952350708016,-16.8956864971586,0.656153100894863,0.645629116825224,0.642093385555409,0.645559175779914,0.656017899714189,0.0220243564144632,0.0215020917747242,0.0212693316518536,0.021042917208309,0.0210626272579559,225,225,225,225,225,-28.3236890386563,-28.3236859136242
9.5,0.0475,0.225625085532036,-16.3622595916795,-7.94011734254428,-5.39686812505016,-7.94007723794368,-16.3622145746944,0.651392220352328,0.64047437239324,0.636772540511125,0.640408345073515,0.651275308491932,0.0238718281248502,0.0233062071357761,0.0230448137389332,0.0228006161080084,0.0227381120730174,237.5,237.5,237.5,237.5,237.5,-28.1623899008382,-28.1623862194313
10,0.05,0.250000085532037,-15.8400227609401,-7.11493592232114,-4.45999504548314,-7.11489274389265,-15.8399765897847,0.647727323357117,0.636336749292074,0.632482549945338,0.636275628580159,0.647709255864728,0.0257512360983224,0.0251662712375008,0.0248740784890405,0.0246139343524645,0.0244301098667583,250,250,250,250,250,-27.9960906602266,-27.9960863940941
10.5,0.0525,0.275625085532039,-15.3284372901625,-6.31294744945109,-3.55083287994256,-6.31290240387904,-15.3283997587268,0.646540745132831,0.634793898907611,0.630818293066404,0.634738715486092,0.646827846054118,0.0276589028331711,0.0270842439077774,0.0267591991348155,0.0264850600790078,0.0261357243973803,262.5,262.5,262.5,262.5,262.5,-27.8250146056266,-27.8250098028796
11,0.055,0.30250008553204,-14.8270519014068,-5.53328397081975,-2.66837034783521,-5.5332400900507,-14.8270412601352,0.64893709814029,0.637221897243319,0.633172877460336,0.637173751789903,0.64944372699637,0.0295913157431862,0.0290626573975449,0.0287029171561604,0.0284167560582755,0.0278521282587914,275,275,275,275,275,-27.6493746892478,-27.6493696081687
11.5,0.0575,0.330625085532042,-14.3355443904181,-4.77523677186969,-1.81176076481216,-4.77519683524366,-14.3355406153403,0.655699819766813,0.643954960511497,0.639887469725496,0.643915052830045,0.655670286925546,0.0315443621035896,0.0311046957904895,0.0307087365832856,0.0304124397192777,0.0295760627570641,287.5,287.5,287.5,287.5,287.5,-27.4693754617037,-27.4693703997069
12,0.06,0.360000085532043,-13.8536324217566,-4.03815304706268,-0.980217816646928,-4.03811655183148,-13.8536249704688,0.665770763735661,0.654090870500154,0.650052794320199,0.654060528185307,0.665753038725595,0.0335134428678114,0.0332142615540382,0.0327801101807212,0.0324762481331324,0.0313039706253312,300,300,300,300,300,-27.2852144916658,-27.2852094197875
12.5,0.0625,0.390625085532043,-13.3810037554473,-3.32135424740289,-0.173661846149116,-3.32132020220035,-13.3809747486141,0.677664884292731,0.666186864171061,0.662489911552351,0.666167532696934,0.677090761642355,0.0354940617924247,0.0353960140620568,0.0328976171710774,0.0346074418456465,0.033037114894722,312.5,312.5,312.5,312.5,312.5,-27.097082429689,-27.0970772314284
13,0.065,0.422500085532042,-12.917280550826,-2.62446009901987,0.605446570934873,-2.62442220065157,-12.9171809004082,0.689523290749253,0.6790006994588,0.677899160141438,0.678993579446183,0.688280572974718,0.0374874545866149,0.0376535778512129,0.0207756913079924,0.0367881522767386,0.034781739836429,325,325,325,325,325,-26.9051624266416,-26.9051564633037
